Numer ANC komponentu;Predkosc
305026103;26
349039710;27
349412302;25
349424203;30
349433103;27
349433105;29
349433202;30
349436202;30
353043303;16
353043304;16
353043305;16
353192018;4
353192204;21
353192205;21
353219583;17
353219585;17
353221307;4
353222513;14
353223106;24
353241304;27
353241404;30
353241502;15
353241603;17
353241604;17
353244707;16
353244713;16
353244714;16
353902665;7
387240701;14
387242199;12
387242701;12
387251599;12
387307399;12
387314398;12
387384201;12
387384202;12
387384401;12
387384402;12
387384403;12
387384404;12
387384601;12
387384602;12
387385903;12
387385907;12
387385908;12
387385909;12
387386301;12
387386302;12
387386305;12
387386401;12
387386402;12
387386406;12
387439901;10
387452301;26
387463799;12
387720602;12
387723201;10
387723202;10
387723203;10
387728701;34
387728801;35
387734933;7
387734934;7
387734935;7
387734936;7
387734937;7
387734938;7
387735201;24
387736001;4
387736002;4
387736003;4
387773301;4
387773401;4
387796099;14
387796199;14
387796299;14
387796925;12
387796926;12
387797133;12
387797134;12
387797135;12
387797136;12
387797138;12
387797139;12
387797302;12
387797303;12
387797304;12
387797502;12
387797503;12
387797506;12
387918902;12
387960326;12
387960426;12
387966904;10
387966905;10
555010801;22
555016298;12
555031699;4
555046101;9
561175361;14
561203101;31
561340013;7
561340014;7
561340023;7
561340024;7
561340033;7
561340034;7
561340101;24
561340201;21
561415499;14
561435265;10
561442402;14
561442509;14
561442510;14
561442511;14
561442512;14
561457001;52
561492801;30
561509010;15
561509020;15
561574502;10
561575600;36
561609101;24
561609243;7
561609244;7
561609245;7
561609246;7
561609247;7
561609248;7
561623202;28
561623203;28
561623302;36
561623303;29
808501501;7
808501502;10
809203301;10
809203405;14
809211601;14
809211603;14
809211604;14
809212901;10
349560502/602;36
353027909/910;30
353222703/704;36
353222805/806;29
387241100/200;10
387241723/823;10
387683700/701;36
A00622604;14
A00622706;14
A00622707;14
A00622708;14
A00622804;14
A00622904;12
A00622906;12
A00623003;12
A00623004;12
A00623006;12
A00930402;10
A01354601;30
A01354602;30
A01354603;30
A01354701;30
A01354702;30
A01354703;30
A02087002;11
A02138501;9
A02469202;10
A03381401;72
A03889801;10
A03889901;10
A03890004;10
A03968201;10
A03968301;10
A03968401;10
A03968501;10
A03968601;10
A03969001;10
A03969101;10
A03969201;10
A03969301;10
A03969801;10
A04196201;12
A04196202;12
A04196203;12
A04196206;12
A04212903;22
A04212904;22
A04872702;12
A04872706;12
A05758601;15
A05758602;15
A05810503;36
A05810504;36
A06924601;12
A07296804;14
A07537701;16
A07537703;16
A12156601;14
A12973901;7
A13125304;12